Classifier: Naive Bayes
Mode: Quaternário
DataTrain length: 27066
DataTest length: 1073

-----PREDCTION INFO-----
Accuracy: 0.756756756757

Report:
             precision    recall  f1-score   support

        pos       0.76      0.78      0.77       163
        neg       0.64      0.98      0.77       316
        neu       0.89      0.69      0.78       509
        irr       0.93      0.31      0.46        85

avg / total       0.80      0.76      0.75      1073

Confusion Matrix:
[[127  20  16   0]
 [  2 309   5   0]
 [ 25 132 350   2]
 [ 14  22  23  26]]

261 Wrong Predictions:
cenaze nedeniyle kapal y z apple http t co j l kk | Correct: irr Predicted: neu
400 - if the iphone case fits the s why is nlevenbrown apple buying a new one -> neu
401 - apple thanks for ios loving having my music breaking up like i m talking on a mobile cell phone bring back functional iosdonwgrade -> neg
402 - speechtrans http t co tw szx on apple app store listed as the best bi directional speech to speech translator posts on twitter -> neu
403 - rt marcmonster siri keeps trying to send me to escort services is that legal apple -> neu
404 - rt leiboaz wow worst apple customer service experience ever arrogant and inept bad combo biltmore apple store -> neg
405 - wow the genius bar reservation line apple is ridic right now i am not amused ugh -> neg
406 - nascarwriter right where i left it last week iphone s apple apple http t co ksjh bas -> neu
407 - apple why does iphone plus ios equal half the battery life -> neg
408 - my friend bm found this article on the ios battery drain problem http t co zmx fkd apple -> neu
409 - u pick camera iphone s orcamera ipad apple -> neu
410 - the official kalifornia cavi mobil app is now available on the app store powered by apple download it free http t co hlgnvlrw -> neu
411 - if apple does not resolve the siri network issues they will need to rename a great product to sorri who else is having issues -> neg
412 - i want siri on my iphone apple -> neu
413 - apple sells million iphones in days apple keep doing what you are doing because you are doing it well http t co zzc be w -> neu
414 - apple y u run out of gb iphone now i have to settle for gb saved though content -> neg
415 - thank you steve apple store th av http t co nsaisrip -> neu
416 - isteps apple store bologna http t co wjjbq ae -> neu
417 - you are so blessed apple -> pos
418 - fishmama if you made a purchase just wait for the apple survey hate going b c of the bad custserv -> neg
419 - wow dogs apple w starr earlier upstairs in the huge soho store and all of a sudden she sprung to attention http t co b plmyvd -> neg
420 - trisha ps icloud is cloudy apple tech not very techy -> neg
421 - betweensundays ah yeah should be an option hopefully apple figures that out thx -> neg
422 - apple s siri is great but google android always had that functionality youtu be ggbyvvu z s justsaying -> neu
423 - dear apple integrated tweeting in ios rawks plz consider adding and lookup like twitter app thx http t co uhstepz -> neu
424 - dyanna you mean like muhaimin apple com -> neg
425 - rjakesuk mine is past the warranty and i don t have applecare ios apple -> neu
426 - shit shit shit ios update ate all my apps data and media just like apple said it would this is going to take some time to rebuild -> neg
427 - hello again iphone thank you apple although this should have never broken in the first place tsk -> pos
428 - also ericgreenspan don t forget apple stop closing the app store after each bloody purchase -> neg
429 - steve jobs unconventional leadership secret acc smartbrief http t co cy vxrnf apple sm hr nehra -> neu
430 - you know what would be awesome if qvc sold apple ipads on easy pay yesplease -> neu
431 - is it me or blackberry is begging ppl not to go apple iphone http t co x gdbuyk -> neu
432 - robcollingridge apple google and with a url that works http t co vgsf q -> neu
433 - follow me and i follow you ios fansoflilwayne follow apple -> neu
434 - apple why isn t my itunes updating i just wanna update my iphone to ios then itunes says that it needs to update to do it then fails -> neg
435 - rt tomcolontonio didn t it occur to apple apple that ppl share itunes accounts amongst family s wtf -> neg
436 - thejcurt unlocking it at apple store rip mr jobs -> neu
437 - ok apple now we got our ios and icloud can we please have logicx -> neg
438 - yesss apple fix it also slow internet rt sprintfeed iphone s owners are you having trouble with siri connecting to internet -> neg
439 - apple shares hit new all time intraday high http t co uy rrru win apple -> neu
440 - rt edatpost apple fan eric holder spotted at the genius store http t co lctpxhf -> neu
441 - apple appstore mac ios ipad siri will siri be available for ipad -> neu
442 - rt fredbenenson hey twitter and apple this is pretty dumb http t co kubkpo t -> neu
443 - ireton perhaps it s time for apple to come out with an app called isuck that lets you know which apps are killing your battery life -> neg
444 - apple users get the official kalifornia cavi app on your apple device now on powered by apple download it free http t co hlgnvlrw -> neu
445 - wat een belachelijke prijzen kpn prijzen iphone s duiken op http t co ep kzupb via iphoneclub kpn iphone apple -> neu
446 - spell check needed when saving documents fingers crossed steve jobs left that nugget of technology behind on the apple to do list -> neu
447 - no kidding thejabberwockey also ericgreenspan don t forget apple stop closing the app store after each bloody purchase -> neg
448 - hey apple stop sending your automatically depreciate all iphones older than the s signal my iphone is dying rapidly processor wise -> neg
449 - i don t get it instead of apple dropping the gb iphone down to they release an gb one for -> neg
450 - amazing new apple ios feature http t co jatfvfpm -> pos
451 - waiting for jacob fairview apple storeee -> neu
452 - apple give me my apps back -> neg
453 - learmonth cue improves imessage engages apple content partners customers better http t co hhkvlwfb with social activity messaging -> neu
454 - a must read article on fastcompany about apple facebook google and amazon technology war in http t co nxc wo s -> neu
455 - rt djtrebel fail i guess apple didnt notify these clowns that the iphone isnst out yet http t co ycdnt b -> neu
456 - apple at t u cannot tell me there isn t at least gb iphone s in la or vegas give me a fucking break -> neg
457 - dear apple how convenient handy thoughtful smart that after iphone ios update you re apps won t work anymore none gr mbl -> neg
458 - i wonder if apple osx will get built in twitter support like ios that would be very helpful at the moment -> neg
459 - apple does ios rape your battery life or am i just using my phone a lot since getting it -> neg
460 - ipad in perpetual restore loop after trying to upgrade to ios apple sux without steve -> neg
461 - the great tech battle ft facebook amazon apple and more http t co ws lwwxy via fastcompany -> neu
462 - dear invisible intern assistant please go pick up my computer from the apple hospital so i can upgrade to ios thanks -> neg
463 - samsung apple you do realise you re just really pissing off the customer base as well as looking petty -> neg
464 - teach different iteach therefore iam http t co yozd hcx apple teachforus teachforamerica ipad stevejobs -> neu
465 - der icloud i hate u and i hope you die you are the worst fucking invention in the world fuck youuuuuuuuuuuu icloud apple stevejobs -> neg
466 - one of the great entrepreneurs has died steve jobs has passed away our hearts go out to his family and everyone at apple -> neg
467 - rt haendelbalzora dear apple please invent facetime voicemails sincerely haendel balzora jr apple -> neu
468 - esperaba mas de ios apple -> neg
469 - apple http t co ycscg via donorschoose -> neu
470 - apple why do you have such a beef with windows cantwealljustgetalong -> neu
471 - samsungmobileus apple would disagree with you right now -> neg
472 - siri went down for a little while last night come on apple get your shit together on this launch -> neg
473 - welcome to the twitter world markstuver this is due to ios and apple thanks guys -> pos
474 - incredible million iphone ss in days better than the iphone http t co fmjxtmm apple iphone s -> neu
475 - heidiknyc apple badog cute dinner when ur back from shanghai xx -> pos
476 - en apple mucho dise o pero llevo media hora esperando a mi clase que poca formalidad -> irr
477 - talking apple keynotes over lunch with yuvalariav challenged him to check something out -> neu
478 - iphone can you please make the battery last longer thanks apple -> neg
479 - yeah there s no apple twitter account -> pos
480 - impressive service apple genius bar metro centre power cable replaced free n booked in for screen replacement for free d -> pos
481 - smart as hell the great tech war of fmanjoo fastcompany http t co xijyuohz fab four apple google amazon facebook -> neu
482 - bored need a new intriguing app for my ipad any suggestions apple yyc gadget guy -> neg
483 - day i m thankful for the great customer service received today from apple via phone cs new phone on the way daysofgratefulness -> pos
484 - rt katebetts another great james stewart story in today s ny times about importance of architecture in apple retail success http t -> pos
485 - ninguem desliga o g do celular giuchavez olha aqui apple na proxima atualiza ao eu quero um atalho pra ligar desligar a g ok -> irr
486 - azee v apple umber proper consolidation proper syncing stop losing my purchased items checkboxes that do what you think they will do -> neg
487 - apple ios geolocation suburbs with words drops map pins in other states please fix -> neg
488 - i just told my apple s she was a stupid bitch and her reply was if you insist lol -> neg
489 - rt robertoafelipe apple predicts siri in in video the video is staged for september http t co tfnrp md -> neu
490 - rt shaydiddy circustk ups apple both of them are bs how do u tell me go between a certain time only and the muh fuh is closed -> neg
491 - rt philliprowntree just registered as an apple developer here s hoping i can actually do it any help greatly appreciated -> pos
492 - cool apple steve jobs infographic http t co prb yx x mickh timeline history -> neu
493 - apple your simply the best -> pos
494 - jarjartee apple that s really good makes you happy to pay the infamous apple tax -> neg
495 - dear apple why you gotta go change the way input type number is handled out of the blue -> neg
496 - can someone explain to me how the hell imessage differs from a text message apple -> neg
497 - i apple http t co a on iaa -> neu
498 - apparently fuzzball crashes on ios congratulations apple on another incompatible upgrade -> neg
499 - apple siri is not working due to network problem seriously can you fix this iphone s fail -> neg
500 - houston we have a problem my ipad has been restoring for hours after installing apple ios this can t be right -> neg
501 - twitter int gr dans ios mais le correcteur fran ais ne conna t pas ce mot et propose titrer peut mieux faire comme int gration apple -> irr
502 - apparently apple genius training doesn t extend to clocks service they re half an hour late for my appointment and couldn t let me know -> neg
503 - iphone s ibm apple iphone s siri is not watson ibmwatson -> neu
504 - apple http t co awaswv u -> neu
505 - using apple s mobile airport utility http t co tidpahyc -> neu
506 - dear apple my new air is now a notbook since your update killed wifi bug destroying productivity -> neg
507 - all i can say about apple right now is goodriddance see cancer isn t all bad -> neg
508 - dammit listening to siri is making me want to upgrade well played apple -> neg
509 - oh just fuck you apple already iphone on schedule for summer launch http t co ofh ptag via bgr -> neg
510 - this is what i have been waiting for rt apple the last big project steve jobs was working on was the new cranial insertion device implant -> neu
511 - apple ios upgrade done much better feature few more feature required -> neg
512 - thank you apple my new gf iphone s is great she does everything -> pos
513 - olha aqui apple na proxima atualiza ao eu quero um atalho pra ligar desligar a g ok aff fazem tudo pela metade steve da um jeito ai -> irr
514 - correction best buy kudos to chris alamo ranch s a tx fixed issues couldn t resolve after day w att apple hero of my day -> neg
515 - apple ios is sweet notifications phone search covers mail now wifi sync icloud backup and integrated twitter are all well done -> neg
516 - twitter returns a error when we try to post the link to apple support community detailing how to turn off auto renewal subscriptions -> neu
517 - terrible customer service at los gatos apple why do i have to pay for a bad home button on my iphone -> neg
518 - iphone s setup siri for your tweets http t co fz oij apple apple iphone siri -> neu
519 - i love our apple imac even though i haven t seen my hubby in days now geek -> pos
520 - reddclay well then p s did you respond so fast because of apple s ios -> neu
521 - robcollingridge apple google been looking at samsung chaton tonight very promising integrated with key apps http t co dzsgphqt -> neu
522 - just realized apple doesn t even have apple on lock this dude r j pittman waiting for thee fattest check -> neu
523 - um why no black people apple -> neg
524 - find more the best maytag washer control board deal check pric http t co sndkag e best apple peeler -> pos
525 - find more the best cyst on knee deal check price of best cyst on knee and offers now http t co qzynnuvi automatic apple -> pos
526 - apple apple one thing i hater about this mouse the buttery finish so fast am not happy now macworld macworld http t co uh a vt -> neg
527 - apple or microsoft buying out rim -> neu
528 - bxlewi hey do you know why apple hasn t added g support yet seems like an odd omission for such an advanced device -> pos
529 - i wish someone would gift me an unlocked iphone s iphone apple -> neg
530 - apple just now seeing none of my microsoft office programs work anymore after lion upgrade why -> neg
531 - late show i would have watched but the folks at apple have a jihad against adobe flash plse consider a youtube link in future on ur site -> neg
532 - picking up my iphone s in two hours apple -> neg
533 - me acabo de convertir en un fanboy de apple el ipad con el cristal roto y me lo cambian aunque no lo cubre la garant a incre ble -> irr
534 - go big or go home apple users here are some apps that make your s iphone s s super http t co t bqyim via mashable ms -> neu
535 - i want everybody on earth to imessage me is there anyway the world can imessage me without giving them my phone number apple -> neg
536 - one word wow rt jldavid iphone s first weekend sales top four million http t co zx pw gt via apple -> neu
537 - apple s steve jobs gets his day pcworld http t co gt w od -> neu
538 - my schedule is busy spend unquality time with att apple recover iphone again the mo mobile i get the mo immobile i is sync not -> neg
539 - hey apple the sms full message is complete shit yes i m annoyed -> neg
540 - apple sold million iphone s units on first weekend appletell http t co vs r oox iphone s apple fb -> neu
541 - people are waiting in line apple for phones at on a tuesday don t you people have jobs no pun intended -> neu
542 - i m wit chu shaydiddy officially boycotting ups calling apple to curse them out next for using them wasting my time -> neg
543 - ipads replace bound playbooks on some n f l teams http t co uxawkwf apple nytimes -> pos
544 - big mo in one week apple icloud hits m users m use ios http t co htputbfk via cnet -> neu
545 - bkad than apologize to apple -> pos
546 - rt timjwdowning ios is a great system but it s taken all day to download apple -> neu
547 - overall i am a fan of the iphone s however my siri has issues connecting to the network apple -> neg
548 - sprint is slow slow slow beware when signing with slowsprint apple iphone iphone iphone s siri android thebufferingnetwork -> neu
549 - albertmal remember apple is evil icloud entering the dropbox market -> neg
550 - coldstorage haven t had a chance to check out the android overhaul but ebooks are likely a response to apple newsstand baked into ios -> neu
551 - hey guys at apple wtf is happening to iphone with ios suddenly fade to black and begin to vibrate continuously i had to reboot it -> neg
552 - this does not bode well after charging all night my apple iphone s has battery after only hr off charger with no calls light use -> neg
553 - rt edatpost apple fan eric holder spotted at the genius store http t co ftlttlpn -> neu
554 - attcustomercare att apple i already have an att wireless line can i buy a factory unlocked iphone s with my contract -> neu
555 - good support fm kevin apple bellevue store biz customers ty -> pos
556 - coatgal apple considering his circumstances suffering faults on off for long periods they replaced his phone with a new as a goodwill -> neg
557 - o piratasdainformatica s n o disse se o bill gates tbm dono da apple -> neu
558 - coatgal apple paul had a chat with an advisor explained the problem cost repair but wait for it drumroll -> neg
559 - by far the worst experience upgrading out of any version of ios apple ios -> neg
560 - twitterpeopleiwouldliketomeet coollike thegadgetshow thelittleappkid jon lakers benrubery apple twitter fxhomehitfilm -> pos
561 - so my imessage still isn t working apple -> neg
562 - today very cheap for icemaker and free shipping for icemaker too http t co clkwaio french apple peeler -> pos
563 - rt apple no question bro rt ainteeentrippin should i get dis iphone or a evo d -> neu
564 - macbreak weekly twit via apple airplay in full hd on the finally leolaporte ihnatko alexlindsay -> neu
565 - iphone s mp camera its a sony http t co njthoi x sony apple apple iphone s cameras -> neu
566 - love ios easter eggs pull down from middle top to bottom and see what pulls down awesome little feature ios apple -> pos
567 - iphone update is great but seriously apple let me delete stuff i dont want like gamecenter steve wont mind -> neg
568 - robert terpstra no worries bud ps they re saying that the s is having a lot of network issues right now i m apple for mac problems -> neg
569 - att just so i have this right i pre ordered an iphone last wk and it will be here in a month i could buy in an apple store today really -> neg
570 - apple so why is the ios support for nd gen ipods discontinued it is only years old give us an ios update please -> neg
571 - philipgrey dear apple why you gotta go change the way input type number is handled out of the blue -> neg
572 - apple what s the point of icloud wireless updates when ios now forces me to use the computer to charge my ipod touch now worstupdateever -> neg
573 - if apple could put the usb female connector in cars would be dope -> neg
574 - had ma ipas not hours an i jailbroke it now its shagged itunes won t letme restore it apple sym -> neg
575 - this is the first time i ve been unhappy with any apple product disappointed and the internet seems as confused as i am right now -> neg
576 - nickthefnicon he can send but not rcve txts so he has an apt apple at pm then he exclaims and i waited a whole year for this phone lmao -> neg
577 - ya hoo apple sells million iphone s in days http t co rvdjsmmi via news app aapl -> neu
578 - apple has changed life -> pos
579 - another great james stewart story in today s ny times about importance of architecture in apple retail success http t co kniz s -> pos
580 - apple and i m looking at the outside all you see is sticky notes about steve jobs -> neg
581 - win an apple ipod touch from mommy gaga get the pampers hello world baby memories app http t co xvcch os pampershelloapps -> neu
582 - apple no location reminders on ipad that was the point of updating to ios -> neg
583 - we re one of a few featured education apps on the apple website today sweet http t co ywvbe z -> pos
584 - love my new i s apple updates just when i think it can t get any better somehow it simplifies my life more that s right it s an apple -> pos
585 - apple freaks is siri available for iphone yet -> neu
586 - dickcostolo says daily twitter signups have tripled since the new apple iphone s came out -> neu
587 - the strangest things siri has said so far i am sooo glad that apple gave siri a sense of humor http t co twaeudbp via happyplace -> pos
588 - hmmmm a lot of siri features don t work in canada location and directions seriously apple come on -> neg
589 - so cutting the cord makes podcasts even harder to manage no subscriptions wth apple http t co ld i x ios via carrypad -> neg
590 - too bad i m not an apple junkie icloud apple ios -> neg
591 - but seriously apple finance me a damn phone you greedy bastards or santa get your jolly ass in gear and get us a s white plz -> neg
592 - paulens it surprises me that apple throws up an error alert about authorizing and there s no authorize this computer button -> neg
593 - iphone s setup siri for your tweets http t co ws lints apple apple iphone siri -> neu
594 - blackberry facebook u r really about to make me throw this blackberry in the trash an get an apple iphone facebook upload issues -> pos
595 - time to go get my iphone s looking forward to sticking it to the man by no longer paying for most texts thanks apple -> neg
596 - apple needs to take down the steve jobs tribute and get back to promoting the brand put the cloud on the front page and start explaining -> neu
597 - blackberry rim esta tratando de abarcar el mercado imitando a android y en ciertas cosas a apple pero sinceramente no creo que llegue -> irr
598 - i hate you apple for not sending toledooh bestbuy any iphone for verizon even after i pre ordered -> neg
599 - dontbemadatmebecause android is by far better than apple -> neg
600 - apple jilive danielpink apple sells million iphone s units in first weekend steve jobs brilliance lives on for ever iphone rva -> neu
601 - rt imightbewrong i m over people bitching about the iphone s i think it s the smartest phone i ve ever had and i m very happy -> pos
602 - iphone s first weekend sales top four million http t co dm actyv via apple themselves big sales for the new phone -> neu
603 - samsung and apple never rest as they battle in court yet again over tablets not the pills -> neu
604 - poll http t co wu esvt q should microsoft consider making its own hardware for windows like apple does microsoft windows appl -> neu
605 - i apple http t co ondxwper -> neu
606 - couldnt help it explored the iphone s apple store talked to siri should ve tried to speak to her in french nexttime -> neg
607 - blackberry boo hiss apple wuhu when will my berry powered technology actually work -> pos
608 - asimrang apple umber the podcasts feature works just fine music purchasing is straight forward what else do you want -> neg
609 - smh at itsthesituation for trying to cut in line for a s cmon mayne if apple s cofounder stood in line then you are too -> neu
610 - twitter buzz for best buy http t co sesentu rt acappellamedia oh sales guy bestbuy i m not selling or using any apple p -> neu
611 - cat accusing tiger for roaring samsung on apple -> neu
612 - apple is profiting a min of per s they sold million this weekend that s another billion to apples coffers worldrecession -> neu
613 - i don t really like siri s voice perhaps apple can get star wars voices just like garmin http t co psujg pn -> neg
614 - is it me or does iphone s run a little warm sometimes apple -> pos
615 - this moment w shyah dianigroves is brought to you by nba apple riesling oh and http t co tmq jru -> neg
616 - apple feel free to accidently ship me a new iphone s nobigdeal -> neu
617 - next year is going to be really interesting in tech as google amazon facebook and apple vie for new growth areas http t co kkakfsch -> neu
618 - so apple changed the look of their on off toggle i wonder how long it will take for all the hip web apps to follow -> pos
619 - is leaving steve s photo on the apple home page what he would really want in his honor let s get back to innovation eh mark newton -> neg
620 - rt porter anderson principal global players will be active in every market amazon apple kobo fbf publaunch mikeshat -> neu
621 - apple store towson waiting at genius bar huge crowd waiting for iphone s michaelmark nicolelil http t co x swech -> neu
622 - apple y u no let me pre order iphone s -> neg
623 - apple how fun wouldn t it be if it was possible to integrate soon to be named with notifications -> neg
624 - ever since i cleaned my mighty mouse ball with alcohol to get it rolling again any time i click the ball it acts like a left click apple -> neg
625 - and only the first images in my photo roll made it over seriously apple how did you fuck this up so much -> neg
626 - twitter can you look at problem on ipad where it won t open messages it just crashes the app you too apple maybe your fault -> neg
627 - been off twitter for a few days as i smashed my iphone but apple were very nice and gave me a new one -> pos
628 - rt porter anderson principal global players will be active in every market amazon apple kobo mikeshatzkin http t co -> neu
629 - cenaze nedeniyle kapal y z apple http t co j l kk -> neu
630 - just searching with my voice on my year old nexus one apple -> pos
631 - is it just a coincidence that apple named their virtual assistant after tom and katie s robot daughter -> neu
632 - screw you apple ios i can t download this crap and i m tired of trying get this problem figured out about my connection timing out -> neg
633 - had issues with siri reaching network today too many uses or my signal apple -> neg
634 - in case you were curious like me iphone s which apple iphone is best for price features http t co d lonczc apple healthit ehr -> neu
635 - gah apple ios opens text messages painfully slow on top of restore attempts succeed early adopterness gets better of me -> neg
636 - iphone s vs canon d mkii apple canon iphone http t co pvkqad -> neu
637 - apple your update server has been timing out for a week i had to force a restore w the new ios software lost all my stuff thanks -> neg
638 - apple sells record m iphone s phones in first days -> neu
639 - i guess i should go hublot apple and zegnaofficial shopping next week birthdays only come once a year lol -> neg
640 - only thing bad about the new canon camera is that it has two compact flash cards not one of sd sd goes in my apple computer damn you -> neg
641 - jhoodmartin rolandsmartin yes salute to steve jobs and apple i m tweeting and you are watching on the ipad let s go schaub time to lead -> neu
642 - apple iphone sold more because its in more retail duhhhh also woz is correct people dont want tech answer just simple child like ones ok -> neu
643 - this is better than every magazine having their own app eatmagazine apple supports magazines ipad upgrade adds newsstand app -> neu
644 - siri says some weird things this is my next http t co h n casg via verge hasanga mohoisham apple siri lmfao -> neu
645 - this rt dennieb um why no black people apple -> neu
646 - rt techhamlet thank you steve a song created for steve jobs http t co vtx zjf via techhamlet azrmusic apple stevejobs apple -> neu
647 - so i am using my work pc never ever to get a feel for it it has the worst speakers ever apple you have spoiled me imamac -> neg
648 - another shrewd business model move by amazon http t co oqjrryfq rooting for the dark horse in the facebook google apple war tech -> neu
649 - california governor jerrybrown declares today stevejobsday in his state music video tribute http t co mnr hix mashable cnet apple -> neu
650 - apple gonna see if anyone stayed logged into their fb or twitter troublemaker -> neu
651 - rt gdcurry really apple what have you done to my itunes now i can t click on music movies tv shows or any playlists i get a l -> neg
652 - dear apple contacts you are terrible i just cleaned duplicates for hours and they magically reappeared fix it -> neg
653 - apple is there a problem with ios that is preventing audio apps and audio functions from operating properly i keep losing sound -> neg
654 - video card on kimaris workstation died after just six months so long hp hello apple -> pos
655 - sweet apple replaced my glass probono thank you apple -> pos
656 - the nice apple tech support guy fixed my itouch d -> neg
657 - apple unhappy again with service product quality won t buy apple again -> neg
658 - oh my iphone is overcapacity huh apple won t let me be great -> neg
659 - right migrate from older mbp to imac using ethernet not firewire thanks drew for saving me some apple http t co iahhagxy -> neu
660 - rogerweir no but i have the option of a replacement iphone s not sure if i want one after having duff iphones o iphone s apple -> neg
661 - rt supaluga rt modalnho new mov apple store starring ichiro repeat pattern moda http t co u a ivk -> neu
662 - frustrated that i bought a new macbook pro from apple only to find it doesnt ship with media expensivepaperweight -> neg
663 - tvnewschick apple oh no why not i want it to be love love love it s a lot of dough to spend otherwise -> pos
664 - i must admit apple has made me a very happy camper i have text tones now lol ring tone makemeproud drakes vers text tone nicki s -> pos
665 - kind of excited on my way to my last class right now and then going to the apple store so buy macosc snow leopard and lion -> neg
666 - lies apple the battery on this new iphone s is definitely not any better -> neg
667 - clarence thomas must have designed the new osx lion tossing decades of workflow standards apple bring back save as autosavesucks -> neg
668 - say no to things what are you saying no to rules of success from steve jobs of apple prodmgmt management innovation -> neu
669 - dear apple please invent facetime voicemails sincerely haendel balzora jr apple -> neu
670 - apple received m pre orders in a single day for its new iphone s consumer demand steve jobs -> neu
671 - rjpittman why you won t use your apple account -> neu
672 - brianmincey apple the chipsets tear through battery life coworker has a htc thunderbolt that he gets about hours of life -> neg
673 - twalve apple you know the issues they have with dst and alarms p -> neg
674 - apple karaoke ceel w nandamaulida putriasmara galuhoktriana milatus p -> neu
675 - apple vende millones de iphone s en tres d as http t co fh t mi turismo martesviajero apple -> irr
676 - i really hate that apple won t let you hide the newsstand app or move it into a folder it serves no purpose for me -> neg
677 - for being the inventor of the computer mouse why is it that apple has never made one that is not a complete piece of fucking shit -> neg
678 - millions in a weekend iphone s per second this is madness no this is apple -> pos
679 - this reader button for safari is perfect for fic apple ios stevejobsday -> neu
680 - i love apple service my case has cracked x and i go in and they hand me a case and i walk out -> pos
681 - goodbye evernote welcome notesinthecloud thx apple -> neu
682 - thank you apple for find my mac just located and wiped my stolen air smallvictory thievingbastards -> pos
683 - rt sawyerhartman i fu king love you apple this phone is the best thing ever siri best thing ever made -> pos
684 - you know apple it s been almost a week since i paid for itunes match i would really like to use it any eta on a fix -> neg
685 - fuck u apple -> neg
686 - can someone plz explain to me whhyy apple is only distributing phones per day to the sprint stores i m really http t co uf tak f -> neu
687 - u know the apple company are giving out ipads because steve jobs past away -> neu
688 - un abrazo a tod s desde el apple store en newyork es un honor sumarse a la gente que honra la memora y el genio de stevejobs -> irr
689 - do people loved steve check out this photo from apple store http t co jiqbgghc -> neu
690 - lmao rt robynheartz he asked siri where s the hoes at she told him where the nearest escorts were i love apple -> neu
691 - poll http t co q er w q r u pissed apple banned this video apple iphone s siri f ball -> neu
692 - que amable es la gente de apple -> irr
693 - the iphone update has segregated my contacts between iphone users and non iphone users they just had to call out those non users apple -> neu
694 - apple and nintendo need to partner up for the app store -> neu
695 - thanks apple now even more people on the bus are talking to inanimate objects harder than ever to tell who s crazy and who s hip -> neg
696 - y apple blackberryvzla rim anuncia m s de millones de dispositivos vendidos bill n de apps descargadas ym s http t co ifkxvg -> irr
697 - apple can t send me an iphone preordered hr after launching but they cans send or to all the jackasses who want to shoot or blend em -> neg
698 - does the iphone s no longer have that stupid network lost pop up possibly the most annoying thing ever that you cannot turn off apple -> neg
699 - play on ma man loving the camera in the iphone s well done apple fb http t co tmdfqre -> pos
700 - apple buried the ability to manage newsstand subscriptions under app store settings this is inconvenient at best -> neu
701 - joelplane apple i hear you i ve had trouble with my now i ve even turned down brightness andshuttingdownrunningprograms nohelp -> neg
702 - if you sign up for iclould will you also get irain apple icloud -> neu
703 - msantram i want apple to integrate siri with quora -> neu
704 - restored my iphone still no texts dear apple y no love y restrictions on my sms y no texts ios ios atemydingo -> neg
705 - hey apple when did you hire therock to tighten the screws on the bottom cases of your macbook pros ouch nicehire -> neu
706 - rt reddeersteph joelplane apple i hear you i ve had trouble with my now i ve even turned down brightness andshuttingdownru -> neg
707 - dailydealchat apple thanks -> pos
708 - well at least the apple store has amazing call waiting music need s -> pos
709 - wisconsin mommy apple i d totally email the company i always get great service at our apple store -> neg
710 - a court in sydney banned the sale of samsung s galaxy tab in australia over intellectual property infringement claims by apple ip wars -> neu
711 - kostatsetsekas apple putting it in the wash is kind of the equivalent to will it blend glad to hear it s still alive -> pos
712 - rt to ne apple thanks for fixing this http t co wtj ogdo -> pos
713 - davidcohen sounds like nd day strategy isn t working we got ours yesterday in and out in no time apple staff awesome efficient -> pos
714 - dancing bear apple store lincoln center http t co xbmjupmq -> neg
715 - love love love ios apple -> pos
716 - hi apple household has iphones ipads minis apple tv airports timecapsule whats a usable iphoto sharing setup cc maddox -> neu
717 - find more the best angel christmas tree o http t co d g ry d starfrit apple peeler -> pos
718 - i officially hate apple fix your damn itunes -> neg
719 - apple why do i have to have apps i am updating in their original folder location that was painful -> neg
720 - bidmyway i like your app for the apple iphone very simple and easy to use -> neu
721 - watching cotmtulsa webcast on joseph from my ipad on my apple tv i love technology http t co mpbzyl -> neu
722 - evolution of apple ads http t co qtoqoz thesavoia stevejobs tech art -> neu
723 - seriously i have absolutely no offing clue what apple means by authorization nor how to do it -> neg
724 - today very cheap for patio furniture san anton http t co sd i bjm plastic apple bags -> neg
725 - rt cbm lies apple the battery on this new iphone s is definitely not any better -> neg
726 - hey apple why can t i share a reminder list from my iphone also why can t i login to the icloud webpage to modify sharing from my phone -> neg
727 - apple multiple times siri is having trouble connecting to the network siri needs servers and some exercise -> neg
728 - bummer that apple icloud syncs on windows only w outlook not thunderbird ie not firefox chrome sadmac -> neg
729 - rt mattyriesz kathrynyee you were right an iphone is a must have addicted welcome to the apple club -> pos
730 - loving the new ipod update apple -> pos
731 - apple stores to close for one hour on october to watch stevejobs memorial http t co fbjqb ra via to mac tech porchista -> neu
732 - hey apple need more servers for siri traffic i m sure google can help you out with that -> neu
733 - apple store to get my phone fixed ppl lined up for s http t co auhqlivy -> neu
734 - ok so it was a lion and not a leopard too much upgrading this weekend apple -> neg
735 - asimrang apple umber when you upgrade to ios there is a section in app store which lets you download anything you have purchased before -> neu
736 - notes for jobs apple store in palo alto downtown http t co bjjfq h -> neu
737 - apple very disappointed hogwarts not choice on world clock on iphone -> neg
738 - good article about why apple fucked it all up with lion and their future http t co zndp vr fb -> neg
739 - steve jobs biopic coming soon apple apple stevejobs http t co dxzba bg -> neu
740 - why is siri always down apple -> neg
741 - moda modalnho apple store starring ichiro repeat pattern coffee shops moda http t co zbi rz s -> neg
742 - now on my second full charge of the day pissed apple -> neg
743 - rt kvox smart as hell the great tech war of fmanjoo fastcompany http t co xijyuohz fab four apple google amazon fac -> neu
744 - apple facebook google and amazon battle in the great tech war of http t co ul zzkv by fmanjoo -> neu
745 - i love apple i love my phone but ever since this damn update my texts keep saying they re full when there are none that s a problem -> neg
746 - win an apple ipod touch from mommy gaga get the pampers hello world baby memories app http t co dllabuak pampershelloapps -> neu
747 - is it just me or is ios faster for the ipad apple -> neg
748 - rt travisdommert is leaving steve s photo on the apple home page what he would really want in his honor let s get back to innovati -> neu
